run 2026-09-08 23:28 UTC
  SWDA: 503 barre, ultima 2026-09-08 close nan
  XSPX: 503 barre, ultima 2026-09-08 close nan
  A500: 503 barre, ultima 2026-09-08 close nan
  XNAS: 503 barre, ultima 2026-09-08 close nan
  ANX: 503 barre, ultima 2026-09-08 close nan
  XRS2: 503 barre, ultima 2026-09-08 close nan
  XESC: 503 barre, ultima 2026-09-08 close nan
  XDAX: 503 barre, ultima 2026-09-08 close nan
  XSX6: 503 barre, ultima 2026-09-08 close nan
  XMEM: 503 barre, ultima 2026-09-08 close nan
  XMJP: 503 barre, ultima 2026-09-08 close nan
  XCS6: 503 barre, ultima 2026-09-08 close nan
  CI2: 503 barre, ultima 2026-09-08 close nan
  KOR: 503 barre, ultima 2026-09-08 close nan
  BRA: 442 barre, ultima 2026-09-08 close 27.185
  CHIP: 503 barre, ultima 2026-09-08 close nan
  GOAI: 502 barre, ultima 2026-09-07 close 140.210
  AINF: 432 barre, ultima 2026-09-08 close nan
  XDWT: 503 barre, ultima 2026-09-08 close nan
  XDWH: 503 barre, ultima 2026-09-08 close nan
  XDW0: 503 barre, ultima 2026-09-08 close nan
  BNK: 503 barre, ultima 2026-09-08 close nan
  TNO: 503 barre, ultima 2026-09-08 close nan
  DEFS: 317 barre, ultima 2026-09-08 close 5.876
  NRJC: 505 barre, ultima 2026-09-08 close nan
  GOLD: 503 barre, ultima 2026-09-08 close nan
  EM15: 503 barre, ultima 2026-09-08 close nan
  XUTD: 503 barre, ultima 2026-09-08 close nan
