date,ticker,open,high,low,close,volume
2024-09-09,A500,96.2800,96.7100,96.2000,96.6600,1751
2024-09-10,A500,96.7600,97.4700,96.7600,97.3400,2659
2024-09-11,A500,97.2200,97.6300,96.1600,96.5600,7557
2024-09-12,A500,99.0300,99.0600,98.2600,98.6600,21006
2024-09-13,A500,99.0000,99.4700,98.9100,99.4700,1469
2024-09-16,A500,99.1100,99.1900,98.7900,98.9600,8998
2024-09-17,A500,99.2800,99.7900,99.2400,99.7000,14952
2024-09-18,A500,99.4900,99.4900,99.1200,99.2200,1277
2024-09-19,A500,99.8600,100.7100,99.7800,100.4800,22114
2024-09-20,A500,100.0400,100.2000,99.8200,100.0300,2978
2024-09-23,A500,100.2500,100.7700,100.2000,100.6200,12219
2024-09-24,A500,100.9200,100.9800,100.1100,100.5700,7712
2024-09-25,A500,100.0500,100.6500,100.0500,100.5700,1550
2024-09-26,A500,101.2000,101.5700,100.5000,100.5400,4101
2024-09-27,A500,101.0300,101.0700,100.7000,100.9200,5767
2024-09-30,A500,100.5900,100.8400,100.1000,100.8000,13628
2024-10-01,A500,101.3300,101.8400,100.5900,101.0600,15673
2024-10-02,A500,100.9300,101.3900,100.6000,101.4400,4094
2024-10-03,A500,101.2500,101.5400,100.8600,101.4600,2565
2024-10-04,A500,101.2300,102.7900,101.2300,102.0500,10014
2024-10-07,A500,102.4700,102.5700,102.2000,102.3800,8298
2024-10-08,A500,101.6300,102.6300,101.5300,102.6300,12888
2024-10-09,A500,102.6600,103.3900,102.5100,103.3700,31240
2024-10-10,A500,103.7400,103.8400,103.3600,103.7400,6991
2024-10-11,A500,103.6200,104.1800,103.3300,104.0600,3026
2024-10-14,A500,104.2700,105.2800,104.2100,104.9700,3822
2024-10-15,A500,105.5100,105.5800,104.9600,105.0700,14498
2024-10-16,A500,104.9100,105.0300,104.5500,104.9800,12827
2024-10-17,A500,105.6600,106.5200,105.6200,105.9600,7462
2024-10-18,A500,105.7800,105.9500,105.5000,105.7300,6537
2024-10-21,A500,105.9200,106.0000,105.4800,105.5500,4558
2024-10-22,A500,105.8500,105.9900,105.4800,105.8600,4241
2024-10-23,A500,106.3100,106.3700,105.6300,105.6300,9523
2024-10-24,A500,105.6800,105.9100,105.3600,105.3700,16398
2024-10-25,A500,105.4100,106.0400,105.2800,105.9200,14720
2024-10-28,A500,105.8900,106.0100,105.5600,105.6600,11446
2024-10-29,A500,105.7200,105.9500,105.4800,105.8500,6938
2024-10-30,A500,105.9700,105.9700,105.3500,105.4700,2383
2024-10-31,A500,104.3000,104.3500,103.3600,103.4000,12770
2024-11-01,A500,103.2600,104.2300,103.2500,104.0700,4032
2024-11-04,A500,103.1700,103.3200,102.8700,103.0300,4919
2024-11-05,A500,103.0300,103.6900,102.9000,103.5500,3043
2024-11-06,A500,107.5800,108.3900,107.3700,107.7900,22346
2024-11-07,A500,108.3000,108.4500,107.9300,108.4300,13286
2024-11-08,A500,108.9500,109.6600,108.3900,109.6600,8424
2024-11-11,A500,110.3000,110.9700,110.2300,110.7200,10094
2024-11-12,A500,110.7200,110.9600,110.6000,110.6900,26288
2024-11-13,A500,110.4900,111.1000,110.1600,111.2000,13569
2024-11-14,A500,111.3400,112.0000,110.7500,110.9400,15745
2024-11-15,A500,109.9700,110.0100,109.3900,109.4000,20983
2024-11-18,A500,109.3700,109.6300,108.8800,109.5400,22561
2024-11-19,A500,109.5600,109.5600,108.3900,109.4300,8614
2024-11-20,A500,110.0800,110.2500,109.5000,109.6800,10858
2024-11-21,A500,110.0900,111.0800,109.7300,111.1400,3743
2024-11-22,A500,111.2900,112.5500,111.2900,112.4000,10374
2024-11-25,A500,112.5500,112.5900,111.8800,112.0800,4777
2024-11-26,A500,112.1300,112.6100,111.7500,112.5800,5077
2024-11-27,A500,112.4800,112.4800,111.4100,111.4300,3316
2024-11-28,A500,112.0100,112.0200,111.7500,111.9400,2204
2024-11-29,A500,111.7200,112.2700,111.6400,112.2700,11835
2024-12-02,A500,112.6800,113.3500,112.3600,113.2100,16560
2024-12-03,A500,113.0800,113.0800,112.6000,112.9100,11388
2024-12-04,A500,113.2100,113.9800,113.0300,113.2300,9390
2024-12-05,A500,113.3400,113.5000,112.8900,113.0600,5246
2024-12-06,A500,112.7400,113.3900,112.5900,113.1600,5203
2024-12-09,A500,113.2900,113.3200,112.2700,112.6700,4934
2024-12-10,A500,112.7500,113.3500,112.6700,113.1000,24162
2024-12-11,A500,113.0500,113.9300,112.8400,113.9300,9295
2024-12-12,A500,113.5000,114.0000,113.3500,113.7800,10244
2024-12-13,A500,113.9000,113.9200,112.9400,113.3200,36215
2024-12-16,A500,113.1800,113.7700,113.0500,113.5900,28081
2024-12-17,A500,113.3800,113.6000,112.8900,113.1900,5917
2024-12-18,A500,113.4700,113.7200,113.2500,113.6200,3971
2024-12-19,A500,111.4500,112.0600,111.0600,111.8200,7852
2024-12-20,A500,110.9000,112.2400,109.6800,112.2400,29803
2024-12-23,A500,112.4400,112.4400,111.7200,112.0200,6876
2024-12-27,A500,113.6000,113.6400,112.0700,112.4200,2214
2024-12-30,A500,112.2500,112.5200,111.0000,111.7700,25688
2025-01-02,A500,112.3200,113.1800,112.1200,113.1800,14930
2025-01-03,A500,112.5200,112.9700,112.1900,112.9700,3820
2025-01-06,A500,113.2400,113.8200,112.7000,113.7300,17783
2025-01-07,A500,112.7200,113.3800,112.4200,112.8600,11302
2025-01-08,A500,112.5900,112.9700,112.1700,112.7000,14306
2025-01-09,A500,112.5000,112.8600,112.3900,112.6000,5614
2025-01-10,A500,112.7000,112.7700,111.4200,111.6900,32549
2025-01-13,A500,111.6200,111.9100,110.9400,111.4700,26604
2025-01-14,A500,112.3400,112.4700,111.5500,111.3700,7818
2025-01-15,A500,111.4200,113.3500,111.4200,113.3400,5552
2025-01-16,A500,114.1000,114.1000,113.4300,113.5100,6275
2025-01-17,A500,113.7100,114.8400,113.5400,114.5300,9374
2025-01-20,A500,114.4000,114.5000,113.4600,113.8200,9397
2025-01-21,A500,113.9500,114.5300,113.7300,113.7700,44509
2025-01-22,A500,114.5000,115.0000,114.1800,115.0000,6160
2025-01-23,A500,114.9300,115.2300,114.6400,115.1100,7994
2025-01-24,A500,114.8700,114.8800,114.2400,114.3500,8220
2025-01-27,A500,112.7600,112.8400,110.8200,112.0000,10048
2025-01-28,A500,113.4300,114.0900,113.1300,113.7500,6691
2025-01-29,A500,114.6700,114.7800,113.9800,114.0500,11101
2025-01-30,A500,114.4600,114.6300,113.7300,114.0700,5902
2025-01-31,A500,115.0700,115.8800,115.0700,115.5300,3908
2025-02-03,A500,114.2200,114.5500,113.6300,114.5500,7466
2025-02-04,A500,114.0900,114.3400,113.6800,114.3800,10766
2025-02-05,A500,113.5900,113.8600,113.2000,113.8300,6068
2025-02-06,A500,114.9800,115.4100,114.9800,115.1500,4671
2025-02-07,A500,115.0800,115.4800,114.8200,114.9500,2254
2025-02-10,A500,115.2500,115.6600,115.1500,115.6000,7691
2025-02-11,A500,115.3900,115.4400,115.0200,115.2000,5375
2025-02-12,A500,115.0600,115.1000,114.2200,114.3400,4498
2025-02-13,A500,114.3300,114.8400,114.0000,114.6100,6254
2025-02-14,A500,115.0700,115.0700,114.4300,114.4300,33156
2025-02-17,A500,114.8800,115.1000,114.8100,115.0200,3491
2025-02-18,A500,115.3700,115.5600,115.0000,115.0600,4281
2025-02-19,A500,115.5100,115.8200,115.2100,115.8100,8592
2025-02-20,A500,115.4800,115.6800,114.4800,114.5300,3934
2025-02-21,A500,114.6100,115.1100,114.3500,114.5500,9494
2025-02-24,A500,113.2600,113.7000,112.4700,113.0600,20302
2025-02-25,A500,112.4200,112.5300,110.7800,110.9000,9778
2025-02-26,A500,112.1300,112.6500,111.8700,112.3000,5192
2025-02-27,A500,112.2800,113.0900,111.8500,112.6900,14627
2025-02-28,A500,111.1500,111.6400,110.7400,111.3200,6433
2025-03-03,A500,112.8500,112.8500,111.2800,111.2900,7699
