ticker,tipo,isin,nome,yahoo,mercato
FAMMAI,etf_promo,IE000VYO9NT0,FINECO AM MSCI ACWI IMI CYBER SECURITY UCITS ETF,FAMMAI.MI,Borsa Italiana
FAMEUS,etf_promo,IE000O2G7VL0,FINECO AM MSCI EUR HY SRI SUSTAINABLE CORPORATE BOND UCITS ETF,FAMEUS.MI,Borsa Italiana
FAMSF3,etf_promo,IE000W6ZFH20,EUR Corporate Bond - Short Term,FAMSF3.MI,Borsa Italiana
FAMSFF,etf_promo,IE000NPK2VI6,FINECO AM MSCI EUR IG SRI SUSTAINABLE EX FOSSIL FUEL CORPORATE BOND UCITS ETF,FAMSFF.MI,Borsa Italiana
FAMUSS,etf_promo,IE0000JVOLK2,FINECO AM MSCI USD HY SRI SUSTAINABLE CORPORATE BOND UCITS ETF,FAMUSS.MI,Borsa Italiana
FAMLSS,etf_promo,IE000WMJVNE9,FINECO AM MSCI USD IG LIQUID SRI SUSTAINABLE CORPORATE BOND UCITS ETF,FAMLSS.MI,Borsa Italiana
FAMWCS,etf_promo,IE0006XQ3YX3,FINECO AM MSCI WORLD CONSUMER STAPLES ESG LEADERS UCITS ETF,FAMWCS.MI,Borsa Italiana
FAMMWF,etf_promo,IE000VDP6OY8,FINECO AM MSCI WORLD FINANCIALS ESG LEADERS UCITS ETF,FAMMWF.MI,Borsa Italiana
FAMTEL,etf_promo,IE000SACNHU2,Other Equity,FAMTEL.MI,Borsa Italiana
FAMAMW,etf_promo,IE000EE3Q489,FINECO AM MSCI WORLD METALS AND MINING UCITS ETF,FAMAMW.MI,Borsa Italiana
FAMMWS,etf_promo,IE000C87OS21,Other Equity,FAMMWS.MI,Borsa Italiana
AI4UJ,etf_promo,IE000J8VOMQ9,FINECOAM MKTVECTOR AI ESG UCITS ETF,AI4UJ.MI,Borsa Italiana
AI4U,etf_promo,IE000QU8JEH5,FINECOAM MKTVECTOR AI ESG UCITS ETF,AI4U.MI,Borsa Italiana
BTECH,etf_promo,IE000RWFQT12,FINECOAM MKTVECTOR BIOTECHTOOLS ETF,BTECH.MI,Borsa Italiana
BTECJ,etf_promo,IE000YXUZAN8,FINECOAM MKTVECTOR BIOTECHTOOLS ETF,BTECJ.MI,Borsa Italiana
EMOVJ,etf_promo,IE000VAKCHT4,FINECOAM MKTVECTOR GLOCLEANENRGY ETF,EMOVJ.MI,Borsa Italiana
EMOVE,etf_promo,IE000PN3F926,FINECOAM MKTVECTOR GLOCLEANENRGY ETF,EMOVE.MI,Borsa Italiana
METAA,etf_promo,IE000WCPJOV4,FINECOAM MKTVECTOR GLOMTA EGAME ETF,METAA.MI,Borsa Italiana
METAJ,etf_promo,IE000HA0OM03,FINECOAM MKTVECTOR GLOMTA EGAME ETF,METAJ.MI,Borsa Italiana
JPMQ,etf_promo,IE000QCDDND5,FINECOAM MKTVECTOR JAP QUALTILT ETF,JPMQ.MI,Borsa Italiana
JPMQJ,etf_promo,IE000SM6I1K9,FINECOAM MKTVECTOR JAP QUALTILT ETF,JPMQJ.MI,Borsa Italiana
XAXJ,etf_promo,LU0322252171,Xtrackers MSCI AC Asia ex Japan ESG Swap UCITS,XAXJ.MI,Borsa Italiana
XDBC,etf_promo,LU0292106167,Xtrackers Bloomberg Commodity ex-Agriculture & Livestock Swap UCITS ETF 1C EUR Hedged,XDBC.MI,Borsa Italiana
XWEH,etf_promo,LU0659579733,LU0292106167 Xtrackers MSCI World Swap UCITS ETF 4C - EUR Hedged,XWEH.MI,Borsa Italiana
XEON,etf_promo,LU0290358497,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,XEON.MI,Borsa Italiana
XCHA,etf_promo,LU0779800910,LU0290358497 Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C Xtrackers CSI300 Swap UCITS ETF 1C,XCHA.MI,Borsa Italiana
