isin,nome
IE000VYO9NT0,FINECO AM MSCI ACWI IMI CYBER SECURITY UCITS ETF
IE000O2G7VL0,FINECO AM MSCI EUR HY SRI SUSTAINABLE CORPORATE BOND UCITS ETF
IE000W6ZFH20,EUR Corporate Bond - Short Term
IE000NPK2VI6,FINECO AM MSCI EUR IG SRI SUSTAINABLE EX FOSSIL FUEL CORPORATE BOND UCITS ETF
IE0000JVOLK2,FINECO AM MSCI USD HY SRI SUSTAINABLE CORPORATE BOND UCITS ETF
IE000WMJVNE9,FINECO AM MSCI USD IG LIQUID SRI SUSTAINABLE CORPORATE BOND UCITS ETF
IE0006XQ3YX3,FINECO AM MSCI WORLD CONSUMER STAPLES ESG LEADERS UCITS ETF
IE000VDP6OY8,FINECO AM MSCI WORLD FINANCIALS ESG LEADERS UCITS ETF
IE000SACNHU2,Other Equity
IE000EE3Q489,FINECO AM MSCI WORLD METALS AND MINING UCITS ETF
IE000C87OS21,Other Equity
IE000J8VOMQ9,FINECOAM MKTVECTOR AI ESG UCITS ETF
IE000QU8JEH5,FINECOAM MKTVECTOR AI ESG UCITS ETF
IE000RWFQT12,FINECOAM MKTVECTOR BIOTECHTOOLS ETF
IE000YXUZAN8,FINECOAM MKTVECTOR BIOTECHTOOLS ETF
IE000VAKCHT4,FINECOAM MKTVECTOR GLOCLEANENRGY ETF
IE000PN3F926,FINECOAM MKTVECTOR GLOCLEANENRGY ETF
IE000WCPJOV4,FINECOAM MKTVECTOR GLOMTA EGAME ETF
IE000HA0OM03,FINECOAM MKTVECTOR GLOMTA EGAME ETF
IE000QCDDND5,FINECOAM MKTVECTOR JAP QUALTILT ETF
IE000SM6I1K9,FINECOAM MKTVECTOR JAP QUALTILT ETF
LU0322252171,Xtrackers MSCI AC Asia ex Japan ESG Swap UCITS
LU0292106167,Xtrackers Bloomberg Commodity ex-Agriculture & Livestock Swap UCITS ETF 1C EUR Hedged
LU0659579733,LU0292106167 Xtrackers MSCI World Swap UCITS ETF 4C - EUR Hedged
LU0290358497,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C
